1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003)
2,Jumanji (1995),Adventure|Children|Fantasy,Diary of a Country Priest (Journal d'un curé de campagne) (1951)
3,Grumpier Old Men (1995),Comedy|Romance,"Thief of Bagdad, The (1924)"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,The Diary of Anne Frank (1959)
5,Father of the Bride Part II (1995),Comedy,Allegro non troppo (1977)
6,Heat (1995),Action|Crime|Thriller,Black Widow (1987)
7,Sabrina (1995),Comedy|Romance,"Herod's Law (Ley de Herodes, La) (2000)"
8,Tom and Huck (1995),Adventure|Children,Flesh & Blood (1985)
9,Sudden Death (1995),Action,King Solomon's Mines (1985)
10,GoldenEye (1995),Action|Adventure|Thriller,Raw Deal (1986)
11,"American President, The (1995)",Comedy|Drama|Romance,"Goodbye, Mr. Chips (1939)"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"Follow Me, Boys! (1966)"
13,Balto (1995),Adventure|Animation|Children,Against the Ropes (2004)
14,Nixon (1995),Drama,Confessions of a Teenage Drama Queen (2004)
15,Cutthroat Island (1995),Action|Adventure|Romance,EuroTrip (2004)
16,Casino (1995),Crime|Drama,"Passion of the Christ, The (2004)"
17,Sense and Sensibility (1995),Drama|Romance,Club Dread (2004)
18,Four Rooms (1995),Comedy,Dirty Dancing: Havana Nights (2004)
19,Ace Ventura: When Nature Calls (1995),Comedy,Twisted (2004)
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"Good bye, Lenin! (2003)"
21,Get Shorty (1995),Comedy|Crime|Thriller,Hidalgo (2004)
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Starsky & Hutch (2004)
23,Assassins (1995),Action|Crime|Thriller,"Reckoning, The (2004)"
24,Powder (1995),Drama|Sci-Fi,Persona (1966)
25,Leaving Las Vegas (1995),Drama|Romance,"Passion of Anna, The (Passion, En) (1969)"
26,Othello (1995),Drama,"Corbeau, Le (Raven, The) (1943)"
27,Now and Then (1995),Children|Drama,Pickup on South Street (1953)
28,Persuasion (1995),Drama|Romance,"Damned, The (La Caduta degli dei) (1969)"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Just One of the Guys (1985)
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"Wrong Arm of the Law, The (1963)"
31,Dangerous Minds (1995),Drama,Agent Cody Banks 2: Destination London (2004)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"Girl Next Door, The (2004)"
34,Babe (1995),Children|Drama,Secret Window (2004)
36,Dead Man Walking (1995),Crime|Drama,Spartan (2004)
38,It Takes Two (1995),Children|Comedy,Broken Wings (Knafayim Shvurot) (2002)
39,Clueless (1995),Comedy|Romance,Wilbur Wants to Kill Himself (2002)
40,"Cry, the Beloved Country (1995)",Drama,Mad Dog and Glory (1993)
41,Richard III (1995),Drama|War,Peyton Place (1957)
42,Dead Presidents (1995),Action|Crime|Drama,Dawn of the Dead (2004)
43,Restoration (1995),Drama,Eternal Sunshine of the Spotless Mind (2004)
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Taking Lives (2004)
45,To Die For (1995),Comedy|Drama|Thriller,Intermission (2003)
46,How to Make an American Quilt (1995),Drama|Romance,Jersey Girl (2004)
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"Ladykillers, The (2004)"
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Never Die Alone (2004)
49,When Night Is Falling (1995),Drama|Romance,Scooby-Doo 2: Monsters Unleashed (2004)
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Dogville (2003)
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Ned Kelly (2003)
53,Lamerica (1994),Adventure|Drama,Hellboy (2004)
54,"Big Green, The (1995)",Children|Comedy,"Prince & Me, The (2004)"
55,Georgia (1995),Drama,Walking Tall (2004)
57,Home for the Holidays (1995),Drama,"United States of Leland, The (2003)"
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,The Alamo (2004)
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Ella Enchanted (2004)
61,Eye for an Eye (1996),Drama|Thriller,"Whole Ten Yards, The (2004)"
62,Mr. Holland's Opus (1995),Drama,I'm Not Scared (Io non ho paura) (2003)
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"Ten Commandments, The (1956)"
64,Two if by Sea (1996),Comedy|Romance,Dawn of the Dead (1978)
65,Bio-Dome (1996),Comedy,Prey for Rock & Roll (2003)
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Those Magnificent Men in Their Flying Machines (1965)
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Cheaper by the Dozen (1950)
69,Friday (1995),Comedy,Scenes From a Marriage (Scener ur ett äktenskap) (1973)
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Munchies (1987)
71,Fair Game (1995),Action,Going in Style (1979)
72,Kicking and Screaming (1995),Comedy|Drama,After Hours (1985)
73,"Misérables, Les (1995)",Drama|War,Kill Bill: Vol. 2 (2004)
74,Bed of Roses (1996),Drama|Romance,"Punisher, The (2004)"
75,Big Bully (1996),Comedy|Drama,Paper Clips (2004)
76,Screamers (1995),Action|Sci-Fi|Thriller,This So-Called Disaster (2003)
77,Nico Icon (1995),Documentary,13 Going on 30 (2004)
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Man on Fire (2004)
79,"Juror, The (1996)",Drama|Thriller,Envy (2004)
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Godsend (2004)
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Laws of Attraction (2004)
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Mean Girls (2004)
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Van Helsing (2004)
85,Angels and Insects (1995),Drama|Romance,"Mudge Boy, The (2003)"
86,White Squall (1996),Action|Adventure|Drama,Breakin' All the Rules (2004)
87,Dunston Checks In (1996),Children|Comedy,Troy (2004)
88,Black Sheep (1996),Comedy,Carandiru (2003)
89,Nick of Time (1995),Action|Thriller,Coffee and Cigarettes (2003)
92,Mary Reilly (1996),Drama|Horror|Thriller,Eye See You (D-Tox) (2002)
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Watch on the Rhine (1943)
94,Beautiful Girls (1996),Comedy|Drama|Romance,Enemy Mine (1985)
95,Broken Arrow (1996),Action|Adventure|Thriller,Enter the Dragon (1973)
96,In the Bleak Midwinter (1995),Comedy|Drama,Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997)
97,"Hate (Haine, La) (1995)",Crime|Drama,Henry & June (1990)
